time_window;training_accuracy;testing_accuracy;
1;51.99248904652618;0.5375626043405676;
2;51.85726210350584;0.5375626043405676;
3;52.00333889816361;0.5388471177944862;
4;52.01419327906491;0.5388471177944862;
5;52.35908141962422;0.5355054302422724;
6;52.62058884944665;0.5304928989139516;
7;52.98663324979115;0.5371762740183793;
8;52.7360066833751;0.5426421404682275;
9;53.39461040317527;0.5409698996655519;
10;53.489343919765986;0.5409698996655519;
11;53.333333333333336;0.5426421404682275;
12;53.992474916387955;0.5392976588628763;
13;54.03428093645485;0.5414225941422595;
14;54.15011499059168;0.5405857740585774;
15;54.077791718946045;0.5414225941422595;
16;54.19368332984731;0.5414225941422595;
17;54.14225941422595;0.5397489539748954;
18;53.59832635983264;0.5443886097152428;
19;53.672316384180796;0.5443886097152428;
20;54.353285893679356;0.5402010050251256;
21;54.239062172911865;0.5385259631490787;
22;54.082914572864325;0.5343383584589615;
23;54.22948073701842;0.537300922045264;
24;54.47120418848167;0.5356244761106455;
25;54.18935902806871;0.5364626990779547;
26;53.84454221663524;0.5356244761106455;
27;54.40067057837384;0.539815590947192;
28;54.90360435875943;0.5444630872483222;
29;54.43303290714735;0.537751677852349;
30;54.65408805031446;0.5427852348993288;
31;54.26714195848186;0.5394295302013423;
32;55.3481543624161;0.5436241610738255;
33;55.39010067114094;0.5340050377833753;
34;55.779316131739044;0.5197313182199832;
35;55.77003776751993;0.5214105793450882;
36;56.28541448058761;0.5264483627204031;
37;56.36020151133502;0.5239294710327456;
38;56.44416456759026;0.5235294117647059;
39;56.37203443208062;0.5184873949579832;
40;56.34187316253675;0.5235294117647059;
41;56.24868725057761;0.5235294117647059;
42;56.596638655462186;0.5126050420168067;
43;56.76470588235294;0.5147182506307821;
44;56.90271065349863;0.5138772077375946;
45;56.284153005464475;0.5138772077375946;
46;56.42211477822157;0.511354079058032;
47;56.53910849453322;0.5079899074852817;
48;56.749369217830115;0.5067340067340067;
49;56.992639327024186;0.5092592592592593;
50;56.56289440471182;0.51010101010101;
