time_window;training_accuracy;testing_accuracy;
1;0.547673690799082;0.5217028380634391;
2;0.6400250417362271;0.508347245409015;
3;0.715567612687813;0.5472013366750209;
4;0.7424337299102484;0.4803675856307435;
5;0.7749478079331942;0.48370927318295737;
6;0.8275214032157027;0.4954051796157059;
7;0.8105680868838764;0.4928989139515455;
8;0.8335421888053467;0.504180602006689;
9;0.8272404428660957;0.49414715719063546;
10;0.8763058921855411;0.4891304347826087;
11;0.864158829676071;0.5150501672240803;
12;0.8858695652173914;0.5066889632107023;
13;0.9015468227424749;0.5213389121338912;
14;0.8873092201547146;0.5129707112970712;
15;0.90987034713509;0.5288702928870292;
16;0.9115247856097051;0.5171548117154812;
17;0.9156903765690376;0.47280334728033474;
18;0.9217573221757323;0.5117252931323283;
19;0.9378531073446328;0.48576214405360135;
20;0.9158643784010047;0.474036850921273;
21;0.9522712999790663;0.4949748743718593;
22;0.9711055276381909;0.5293132328308208;
23;0.9384422110552764;0.5037720033528919;
24;0.9759162303664921;0.5155071248952221;
25;0.9733975701717638;0.5146689019279128;
26;0.9664781060129898;0.48365465213746855;
27;0.972338642078793;0.5037720033528919;
28;0.9867979882648784;0.4714765100671141;
29;0.9811360301823517;0.4790268456375839;
30;0.9656184486373166;0.5201342281879194;
31;0.9746278045711889;0.4983221476510067;
32;0.9351929530201343;0.5192953020134228;
33;0.9729446308724832;0.4903442485306465;
34;0.9815397524648626;0.48446683459277917;
35;0.9326479227864037;0.5088161209068011;
36;0.985099685204617;0.4945424013434089;
37;0.9685138539042821;0.5155331654072208;
38;0.9901343408900084;0.4613445378151261;
39;0.9494016376233466;0.5042016806722689;
40;0.9647207055858883;0.5100840336134453;
41;0.9798361688720857;0.5;
42;0.992436974789916;0.5058823529411764;
43;0.9897058823529412;0.49032800672834315;
44;0.9815087203193948;0.5172413793103449;
45;0.9836065573770492;0.5029436501261564;
46;0.9882278747109523;0.496215306980656;
47;0.9960050462573591;0.5273338940285954;
48;1.0;0.5025252525252525;
49;0.9707676130389065;0.49326599326599324;
50;0.9728649558266723;0.4941077441077441;
